scenario,budget_cap,drop_scale,n_patients,feasible_rate,mean_tan_reduction_rate,mean_total_cost_6m,median_total_cost_6m
baseline,2000.0,1.0,278,1.0,0.3602616334167482,1221.841726618705,1320.0
budget_1600,1600.0,1.0,278,1.0,0.34796893062609363,1188.6906474820144,1284.0
budget_1800,1800.0,1.0,278,1.0,0.35543803266327706,1213.294964028777,1284.0
budget_2200,2200.0,1.0,278,1.0,0.363333589183313,1234.5323741007194,1320.0
drop_x0.90,2000.0,0.9,278,1.0,0.3258730549583969,1213.294964028777,1284.0
drop_x1.10,2000.0,1.1,278,1.0,0.3889273983372619,1221.841726618705,1320.0
