experiment,n_features,val_auc,test_auc,val_pr_auc,test_pr_auc,val_brier,test_brier
track_B_with_lipid,21,0.9737056112767688,1.0,0.986531279178338,1.0,0.006666666567907833,0.005424384278885897
remove_constitution,8,0.890485226348604,0.8701545134182705,0.9708660731779669,0.9671493007937743,0.11951825433402093,0.13761993960780664
track_A_no_lipid,17,0.8720520466251017,0.8208186500406613,0.9466626481222016,0.9464079661818451,0.1161959883108746,0.15242890026128839
remove_activity,16,0.9007861208999729,0.8194632691786391,0.974781132949279,0.9276341392345413,0.11131737698892766,0.1561463221654581
