seed,val_auc,test_auc,val_pr_auc,test_pr_auc,val_brier,test_brier
42,0.8720520466251017,0.8208186500406613,0.9466626481222016,0.9464079661818451,0.1161959883108746,0.15242890026128839
43,0.8969910544863106,0.8606668473841149,0.9745349813444117,0.9644576269168679,0.1175641773194842,0.13193444285363531
44,0.9094605584169153,0.8441312008674438,0.9789446135254365,0.9607199349518936,0.12079461932403812,0.15586200457945543
45,0.9034968826240174,0.8549742477636215,0.9640813188824071,0.963166204641546,0.09303363073452307,0.14134462495035527
46,0.7598265112496613,0.8818107888316618,0.9024436063451664,0.9647570174767792,0.1594079210616816,0.11751611865123238
47,0.8782867985904039,0.9070208728652752,0.9695675470080133,0.9777154478298918,0.13649169111375656,0.11917452454050415
48,0.9113580916237463,0.9067497966928706,0.978828026667415,0.9771659975139498,0.1082397414079333,0.10720065514103702
49,0.9265383572783953,0.9029547302792085,0.982727833757627,0.9772090785757684,0.10035608320185568,0.11561748374632085
50,0.8685280563838439,0.8435890485226349,0.9676582367549358,0.9601185434704242,0.13611917303697624,0.15508119631567127
51,0.8915695310382218,0.8370832203849281,0.9726562630718321,0.9551333456782657,0.1129549971204702,0.13531180275802415
